Day,Media Buy Name,Media Buy Key,Campaign name,Campaign key,Impressions,clicks,visits,Device,,,,,,,,
01/06/2021,MB1,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB2,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB3,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB4,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB5,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB6,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB7,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB8,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB9,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB10,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB11,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB12,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB13,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB14,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB15,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB16,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB17,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB18,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB19,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB20,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB21,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB22,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB23,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB24,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB25,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB26,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB27,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB28,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB29,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB30,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB31,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB32,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB33,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB34,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB35,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB36,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB37,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB38,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB39,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB40,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB41,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB42,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB43,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB44,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB45,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB46,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB47,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB48,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB49,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB50,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB51,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB52,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB53,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB54,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB55,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB56,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB57,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB58,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB59,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB60,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB61,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB62,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB63,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB64,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB65,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB66,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB67,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB68,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB69,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB70,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB71,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB72,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB73,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB74,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB75,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB76,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB77,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB78,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB79,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB80,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB81,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB82,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB83,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB84,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB85,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB86,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB87,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB88,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB89,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB90,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB91,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB92,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB93,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB94,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB95,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB96,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB97,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB98,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB99,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB100,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB101,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB102,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB103,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB104,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB105,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB106,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB107,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB108,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB109,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB110,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB111,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB112,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB113,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB114,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB115,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB116,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB117,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB118,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB119,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB120,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB121,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB122,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB123,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB124,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB125,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB126,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB127,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB128,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB129,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB130,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB131,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB132,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB133,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB134,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB135,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB136,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB137,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB138,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB139,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB140,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB141,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB142,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB143,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB144,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB145,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB146,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB147,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB148,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB149,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB150,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB151,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB152,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB153,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB154,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB155,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
02/06/2021,MB156,K30,CN30,CK30,333,333,333,mobile,,,,,,,,
01/06/2021,MB157,K3,CN3,CK3,300,300,300,mobile,,,,,,,,
